Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address
1/2/2026,1,Keith Barry,Live Nation / Gaiety Investments (MCD Productions),336,17142.64,400.0,0.84,51.02,51.02,51.02,Theater ,336,17142.64,"National Opera House (Wexford), Wexford, Ireland"
1/2/2026,7,"""Harry Potter: Visions of Magic""",OCESA,1482,117441.19,1482.0,1.0,44.51,222.55,79.24,Theater ,10375,822088.32,"Gran Carpa Santa Fe, Mexico City, Mexico"
1/2/2026,7,"""The Lion King""",OCESA,558,44231.1,1400.0,0.39,55.64,278.18,79.23,Theater ,3908,309617.68,"Teatro Telcel, Mexico City, Mexico"
1/2/2026,7,"""The Phantom Of The Opera""",OCESA,567,57507.46,1400.0,0.4,44.51,222.55,101.4,Theater ,3970,402552.23,"Teatro de los Insurgentes, Mexico City, Mexico"
1/2/2026,1,Backstreet Boys,Live Nation,16751,2926472.0,16751.0,1.0,85.0,375.0,174.7,Arena,16751,2926472.0,"Sphere, Las Vegas, United States"
1/3/2026,1,Keith Barry,Live Nation / Gaiety Investments (MCD Productions),500,25445.59,500.0,1.0,50.89,50.89,50.89,Other,500,25445.59,"Mullingar Park Hotel, Mullingar, Ireland"
1/3/2026,1,Backstreet Boys,Live Nation,16751,2859349.5,16751.0,1.0,85.0,375.0,170.7,Arena,16751,2859349.5,"Sphere, Las Vegas, United States"
1/5/2026,1,Duran Duran,Live Nation,8980,976223.0,10010.0,0.89,54.5,754.5,108.71,Arena,8980,976223.0,"Mortgage Matchup Center, Phoenix, United States"
1/6/2026,7,"""The Lion King""",OCESA,567,45197.07,1400.0,0.4,55.89,279.44,79.59,Theater ,3975,316379.49,"Teatro Telcel, Mexico City, Mexico"
1/6/2026,7,"""The Phantom Of The Opera""",OCESA,577,58837.16,1400.0,0.41,44.71,223.55,101.87,Theater ,4043,411860.14,"Teatro de los Insurgentes, Mexico City, Mexico"
1/6/2026,1,Xavier Naidoo,Live Nation,12500,1765920.47,13000.0,0.96,107.44,158.01,141.27,Arena,12500,1765920.47,"Hallenstadion Zurich, Zurich, Switzerland"
1/6/2026,1,The Lumineers,"Frontier Touring, Live Nation",5733,338991.4,6185.0,0.92,69.01,69.01,59.13,Arena,5733,338991.4,"Spark Arena, Auckland, New Zealand"
1/7/2026,2,Blue Man Group,Live Nation,868,54969.88,1090.0,0.79,43.0,113.0,63.33,Theater ,1736,109939.75,"BJCC Concert Hall, Birmingham, United States"
1/8/2026,3,Joanne McNally,Live Nation / Gaiety Investments (MCD Productions),1235,67605.65,1298.0,0.95,54.66,54.66,54.73,Theater ,3706,202816.95,"3Olympia Theatre, Dublin, Ireland"
1/9/2026,1,Keith Barry,Live Nation / Gaiety Investments (MCD Productions),400,20231.9,400.0,1.0,50.58,50.58,50.58,Other,400,20231.9,"Langtons Hotel, Kilkenny, Ireland"
1/9/2026,1,Bad Bunny,"Bizarro Live Entertainment, Live Nation",55743,6679969.38,55743.0,1.0,55.5,388.5,119.84,Stadium,55743,6679969.38,"Estadio Nacional, Santiago, Chile"
1/9/2026,1,Daniel Tosh,"Live Nation, Seattle Theatre Group",2811,194463.5,2838.0,0.99,49.5,95.0,69.18,Theater ,2811,194463.5,"Paramount Theatre, Seattle, United States"
1/9/2026,1,Biffy Clyro,Live Nation / Gaiety Investments (MCD Productions),6019,563091.25,7500.0,0.8,93.51,93.51,93.55,Arena,6019,563091.25,"The SSE Arena, Belfast, Belfast, United Kingdom"
