Country,USD Price
Argentina,0.86
Nigeria,0.95
Pakistan,1.25
India,1.26
Turkey,1.32
Egypt,1.33
Ukraine,1.64
Vietnam,2.27
Bangladesh,2.39
Philippines,2.43
Indonesia,2.82
Kenya,3.07
Thailand,3.7
Chile,4.3
Brazil,4.48
Colombia,4.52
Ghana,4.54
South Africa,4.88
Malaysia,5.08
Romania,5.41
Russia,5.66
Mexico,5.66
Saudi Arabia,5.86
Hungary,6.78
Poland,6.83
Taiwan,6.89
Japan,6.89
Czech Republic,7.2
Hong Kong,7.41
United Arab Emirates,8.17
Canada,8.45
Singapore,8.67
Israel,8.67
South Korea,9.23
Australia,9.35
Portugal,10.51
United States,10.99
New Zealand,11.33
Spain,11.68
Italy,11.68
France,12.85
Germany,12.85
Netherlands,12.85
Sweden,13.98
United Kingdom,14.95
Norway,15.06
