,Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address,date
65014,4/14/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,13435,1697100.0,13465.0,0.99,50.0,500.0,126.32,Arena,13435,1697100.0,"Golden 1 Center, Sacramento, United States",2025-04-14
64535,4/18/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,15956,2503179.0,15956.0,1.0,82.3,1368.5,156.88,Arena,15956,2503179.0,"T-Mobile Arena, Las Vegas, United States",2025-04-18
64307,4/19/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,9854,924449.0,12686.0,0.77,38.7,387.5,93.81,Arena,9854,924449.0,"T-Mobile Arena, Las Vegas, United States",2025-04-19
64028,4/21/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,16738,3480131.0,16738.0,1.0,82.3,1368.5,207.92,Arena,16738,3480131.0,"T-Mobile Arena, Las Vegas, United States",2025-04-21
63429,4/25/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,11462,1493662.0,11667.0,0.98,48.0,554.0,130.31,Arena,11462,1493662.0,"Dickies Arena, Fort Worth, United States",2025-04-25
61273,5/5/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,10881,881850.0,13136.0,0.82,30.0,250.0,81.04,Arena,10881,881850.0,"CHI Health Center Omaha, Omaha, United States",2025-05-05
56598,6/2/2025,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,8256,780180.0,10890.0,0.75,35.0,300.0,94.5,Arena,8256,780180.0,"BOK Center, Tulsa, United States",2025-06-02
8869,4/13/2026,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,10992,1484719.02,11775.0,0.93,37.5,800.0,135.07,Arena,10992,1484719.02,"Golden 1 Center, Sacramento, United States",2026-04-13
8126,4/17/2026,1,WWE Friday Night Smackdown,World Wrestling Entertainment,9630,1250457.0,12597.0,0.76,82.3,1641.0,129.85,Arena,9630,1250457.0,"T-Mobile Arena, Las Vegas, United States",2026-04-17
7523,4/20/2026,1,"""WWE Monday Night Raw""",World Wrestling Entertainment,13993,1963923.0,13993.0,1.0,82.3,1641.0,140.35,Arena,13993,1963923.0,"T-Mobile Arena, Las Vegas, United States",2026-04-20
6984,4/24/2026,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,9902,1069191.0,11329.0,0.87,89.0,619.0,107.98,Arena,9902,1069191.0,"Dickies Arena, Fort Worth, United States",2026-04-24
5745,5/1/2026,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,5628,518620.98,6541.0,0.86,20.0,400.0,92.15,Arena,5628,518620.98,"BOK Center, Tulsa, United States",2026-05-01
5118,5/4/2026,1,"""World Wrestling Entertainment""",World Wrestling Entertainment,8444,846384.17,13000.0,0.64,40.0,400.0,100.23,Arena,8444,846384.17,"CHI Health Center Omaha, Omaha, United States",2026-05-04
