Business Date,Total Contracts
2026-06-11,1
2026-06-12,0
2026-06-13,0
2026-06-14,0
2026-06-15,0
2026-06-16,0
2026-06-17,0
2026-06-18,25
2026-06-19,0
2026-06-20,0
2026-06-21,0
2026-06-22,0
2026-06-23,0
2026-06-24,0
2026-06-25,381
2026-06-26,988
2026-06-27,3583
2026-06-28,0
2026-06-29,3274
2026-06-30,5795
2026-07-01,46038
2026-07-02,106752
2026-07-03,136831
2026-07-04,243334
2026-07-05,263126
2026-07-06,98526
2026-07-07,154896
2026-07-08,226735
2026-07-09,180606
2026-07-10,183602
2026-07-11,213028
2026-07-12,360311
2026-07-13,9900
2026-07-14,154597
2026-07-15,200232
2026-07-16,319842
2026-07-17,456013
2026-07-18,715335
2026-07-19,575403
2026-07-20,605034
2026-07-21,387061
2026-07-22,507316
2026-07-23,506150
2026-07-24,844404
2026-07-25,939349
2026-07-26,1002414
2026-07-27,512324
2026-07-28,509515
2026-07-29,806667
2026-07-30,688032
2026-07-31,745443
2026-08-01,983501
2026-08-02,1048537
2026-08-03,361422
2026-08-04,472924
2026-08-05,605580
2026-08-06,655143
2026-08-07,614652
2026-08-08,1178183
2026-08-09,936332
2026-08-10,315621
2026-08-11,737122
2026-08-12,957673
2026-08-13,839703
2026-08-14,1294705
2026-08-15,2039246
2026-08-16,1359591
2026-08-17,1210622
2026-08-18,557181
2026-08-19,1450093
2026-08-20,895848
2026-08-21,1198992
2026-08-22,1122513
2026-08-23,1532660
2026-08-24,525316
2026-08-25,689662
2026-08-26,2557592
2026-08-27,9547705
2026-08-28,14809135
2026-08-29,28273980
2026-08-30,4910082
2026-08-31,15463
