date,MLB,CFB,NFL,Other,Total
2026-08-04,3960953.69768,0.0,36602.98744,1349647.46741,5347204.15253
2026-08-05,5183277.56057,0.0,20087.72974,1898343.77558,7101709.06589
2026-08-06,4652850.05861,0.0,371704.06186,1286216.87534,6310770.995809999
2026-08-07,3770309.88976,0.0,51267.8597,1304602.08025,5126179.82971
2026-08-08,4669234.21751,0.0,49734.4799,2235911.85821,6954880.55562
2026-08-09,4622788.18026,0.0,60621.76885,1380644.94481,6064054.89392
2026-08-10,4315522.26499,0.0,49144.10725,858751.4121500001,5223417.784390001
2026-08-11,5020243.0409,0.0,118939.65355,1849206.27498,6988388.9694300005
2026-08-12,5584845.08632,0.0,134257.6114,1713350.79503,7432453.492749999
2026-08-13,3922301.208,0.0,992102.35449,1763738.5077900002,6678142.070280001
2026-08-14,4131766.20173,351.5133,621631.3476,1879676.6554899998,6633425.718119999
2026-08-15,3651878.34348,485.98583,958164.03965,3356798.22841,7967326.59737
2026-08-16,4674772.32682,1896.05155,3305.9385,2094566.5655200002,6774540.88239
2026-08-17,4055928.89164,2696.50675,260913.6931,1314383.52935,5633922.62084
2026-08-18,4469339.42555,2692.61214,156027.7239,2228020.98102,6856080.742609999
2026-08-19,5614888.78402,1551.0106999999998,165177.7111,2080742.11102,7862359.61684
2026-08-20,3985474.09217,4639.6672,1162779.82053,1889251.6388599998,7042145.218760001
2026-08-21,4933495.76467,4372.35622,945442.73477,1852433.4418199998,7735744.29748
2026-08-22,4905207.70943,4816.63952,1816334.66459,3732242.33437,10458601.34791
2026-08-23,4840764.829,19484.6754,555655.10909,2510930.7738900003,7926835.38738
2026-08-24,4004158.45427,30491.07409,131990.46766,2726217.98747,6892857.98349
2026-08-25,5314009.15466,46772.5389,64588.26838,2506997.0306700002,7932366.99261
2026-08-26,6342228.18936,107614.75522,126949.83345,2407815.50002,8984608.27805
2026-08-27,3255029.67662,395097.96633,764373.07628,1823655.4818,6238156.20103
2026-08-28,4948453.87747,424561.30873,992813.58341,2381235.52755,8747064.29716
2026-08-29,5427730.26293,3579006.1504,239719.7731,1731730.42044,10978186.60687
2026-08-30,5251791.9742,275618.16236,16135.5556,2787779.9786400003,8331325.6708
2026-08-31,4862420.74523,364841.61573,30515.1627,2085380.4723800002,7343157.99604
2026-09-01,6003716.27212,383941.31419,23640.37706,1593049.68482,8004347.64819
2026-09-02,6233832.25312,340615.98369,56824.38183,1428964.5487499996,8060237.16739
2026-09-03,4886968.88295,2221303.25868,41004.4468,1731694.9284199995,8880971.51685
2026-09-04,5212806.41561,2840038.78996,46428.73389,2216571.28302,10315845.222479999
2026-09-05,4107710.24189,8849565.72372,49322.06265,2891887.22414,15898485.2524
2026-09-06,5483835.70878,3475630.18763,87551.50696,1856902.8992500002,10903920.302620001
2026-09-07,5542989.18287,2363039.28892,226944.02213,1744275.82627,9877248.320190001
2026-09-08,5331349.83252,509431.5485,496853.41473,2956478.62138,9294113.417129999
2026-09-09,4831186.35941,414100.94843,3996633.51756,2654862.7917799996,11896783.617180001
2026-09-10,3398624.71706,1024036.2869,4458605.08355,1446662.53105,10327928.618560001
2026-09-11,5354981.55981,3126819.02831,699823.1129,1719883.54318,10901507.244199999
2026-09-12,3496838.56715,13829200.50985,1084241.91893,1685047.14952,20095328.14545
2026-09-13,3497761.33508,378660.00933,14526208.77832,1099600.9831599998,19502231.10589
2026-09-14,4233162.32889,238566.34751,5010817.59977,1010112.44576,10492658.72193
2026-09-15,6483745.06113,523920.72487,712118.92965,1399269.2631199998,9119053.97877
2026-09-16,8044514.90078,690666.86167,1392363.55496,1308453.26198,11435998.57939
2026-09-17,3660187.52892,1770970.09873,5078550.67977,1818914.8575799998,12328623.165000001
2026-09-18,4776864.16269,4903170.74328,962281.55591,2026849.38484,12669165.84672
2026-09-19,3338164.83453,15145214.09077,1264517.08694,3085543.53396,22833439.546200003
2026-09-20,2666882.1419,348967.55804,18172704.94094,1549850.0336699998,22738404.67455
