date,MLB,CFB,NFL,COMBO,Other,Total
2026-08-04,8060881.72,0.0,95767.39,0.0,2765490.2600000002,10922139.37
2026-08-05,10482756.71,0.0,65359.36,0.0,3759652.38,14307768.45
2026-08-06,9459781.89,0.0,755165.66,0.0,2627930.89,12842878.440000001
2026-08-07,7541456.7,0.0,106327.47,0.0,2612728.2399999998,10260512.41
2026-08-08,9341563.26,0.0,102686.82,0.0,4511327.92,13955578.0
2026-08-09,9241892.29,0.0,121655.54,0.0,2748566.32,12112114.149999999
2026-08-10,8480952.77,0.0,97840.53,0.0,1748147.0199999998,10326940.319999998
2026-08-11,10021935.82,0.0,241187.46,0.0,3685159.91,13948283.190000001
2026-08-12,11069626.19,0.0,278323.97,0.0,3520443.6100000003,14868393.77
2026-08-13,7818552.6,0.0,1960508.25,0.0,3591080.17,13370141.02
2026-08-14,8252490.7,0.0,1242761.16,0.0,3734523.1399999997,13229775.0
2026-08-15,7214687.57,0.0,1926888.78,0.0,6670328.37,15811904.719999999
2026-08-16,9371954.74,0.0,6970.26,0.0,4106337.78,13485262.78
2026-08-17,8009181.81,0.0,536153.64,0.0,2690046.21,11235381.66
2026-08-18,8750805.92,0.0,316553.75,0.0,4530183.699999999,13597543.37
2026-08-19,11035841.01,0.0,332625.77,0.0,4171121.9700000007,15539588.75
2026-08-20,7737303.7,0.0,2357061.76,0.0,3891850.31,13986215.770000001
2026-08-21,9878639.1,0.0,1893369.34,0.0,3711684.1900000004,15483692.629999999
2026-08-22,9899064.14,0.0,3647795.91,0.0,7620052.3599999985,21166912.41
2026-08-23,9696154.15,0.0,1178365.6,0.0,5125072.42,15999592.17
2026-08-24,7957347.17,0.0,275583.12,0.0,5521285.61,13754215.9
2026-08-25,10426046.22,0.0,146367.4,0.0,5212845.399999999,15785259.02
2026-08-26,12511303.42,0.0,256719.64,0.0,5048304.31,17816327.37
2026-08-27,6447859.53,0.0,1573066.34,0.0,4439295.03,12460220.9
2026-08-28,9618663.79,0.0,1957132.55,0.0,5607910.33,17183706.67
2026-08-29,10544514.51,0.0,493042.41,0.0,10746297.299999997,21783854.22
2026-08-30,10421103.82,0.0,31254.24,0.0,5971443.41,16423801.47
2026-08-31,9309317.87,0.0,62582.51,0.0,4781106.4799999995,14153006.86
2026-09-01,11746105.32,0.0,55925.34,0.0,3995051.94,15797082.6
2026-09-02,11912147.12,0.0,107435.47,0.0,3471707.63,15491290.219999999
2026-09-03,9496720.69,0.0,78251.77,0.0,7928654.76,17503627.22
2026-09-04,10192485.99,0.0,93271.92,0.0,10043119.89,20328877.8
2026-09-05,8221453.37,0.0,97382.93,0.0,23648473.83,31967310.13
2026-09-06,10794099.18,0.0,185935.27,0.0,10450645.100000001,21430679.55
2026-09-07,10703277.48,0.0,454482.19,0.0,8026933.74,19184693.41
2026-09-08,10261640.52,0.0,980623.08,0.0,6612964.89,17855228.49
2026-09-09,9491468.11,0.0,8166907.95,0.0,5992269.84,23650645.9
2026-09-10,6618964.57,0.0,9180879.65,0.0,4887565.4399999995,20687409.66
2026-09-11,10498131.19,0.0,1393774.43,0.0,9902936.610000001,21794842.23
2026-09-12,6920184.52,0.0,2130231.62,0.0,31307385.63,40357801.769999996
2026-09-13,6704831.94,0.0,29063977.74,0.0,2846011.41,38614821.09
2026-09-14,8272579.61,0.0,10488965.53,0.0,2490493.32,21252038.46
2026-09-15,12787641.64,0.0,1423149.15,0.0,3973721.4,18184512.19
2026-09-16,15900797.08,0.0,2963059.03,0.0,4349946.07,23213802.18
2026-09-17,7366281.67,0.0,10683161.66,0.0,7247204.69,25296648.02
2026-09-18,9439188.44,0.0,1846653.21,0.0,13692871.81,24978713.46
2026-09-19,6610953.1,0.0,2581765.07,0.0,36863885.5,46056603.67
2026-09-20,5525318.04,0.0,36335824.55,0.0,3877418.96,45738561.55
