Country,spotify,apple-music,youtube-premium
Argentina,2.36,0.86,2.44
Australia,11.51,9.35,16.55
Bangladesh,1.75,2.39,1.91
Brazil,4.89,4.48,5.09
Canada,10.29,8.45,9.55
Chile,5.46,4.3,6.06
Colombia,4.95,4.52,5.86
Czech Republic,8.94,7.2,10.1
Egypt,1.33,1.33,1.25
France,14.02,12.85,16.36
Germany,15.19,12.85,16.36
Ghana,2.14,4.54,2.05
Hong Kong,9.96,7.41,11.24
Hungary,6.48,6.78,7.07
India,1.47,1.26,1.58
Indonesia,3.44,2.82,3.96
Israel,6.93,8.67,9.54
Italy,14.02,11.68,16.36
Japan,6.89,6.89,8.17
Kenya,3.22,3.07,3.84
Malaysia,4.46,5.08,5.33
Mexico,7.94,5.66,9.09
Netherlands,15.19,12.85,16.36
New Zealand,12.52,11.33,10.73
Nigeria,1.17,0.95,1.24
Norway,15.06,15.06,18.31
Pakistan,1.36,1.25,1.72
Philippines,2.75,2.43,3.08
Poland,7.37,6.83,7.1
Portugal,10.51,10.51,12.85
Romania,6.12,5.41,6.82
Russia,6.18,5.66,7.21
Saudi Arabia,8.53,5.86,7.2
Singapore,9.46,8.67,11.03
South Africa,5.8,4.88,5.0
South Korea,8.2,9.23,10.19
Spain,14.02,11.68,16.36
Sweden,13.98,13.98,16.14
Taiwan,5.51,6.89,6.52
Thailand,4.63,3.7,5.56
Turkey,2.18,1.32,1.76
Ukraine,4.92,1.64,2.36
United Arab Emirates,6.53,8.17,7.35
United Kingdom,17.67,14.95,17.67
United States,12.99,10.99,13.99
Vietnam,2.5,2.27,3.04
