Country,USD Price
Nigeria,1.17
Egypt,1.33
Pakistan,1.36
India,1.47
Bangladesh,1.75
Ghana,2.14
Turkey,2.18
Argentina,2.36
Vietnam,2.5
Philippines,2.75
Kenya,3.22
Indonesia,3.44
Malaysia,4.46
Thailand,4.63
Brazil,4.89
Ukraine,4.92
Colombia,4.95
Chile,5.46
Taiwan,5.51
South Africa,5.8
Romania,6.12
Russia,6.18
Hungary,6.48
United Arab Emirates,6.53
Japan,6.89
Israel,6.93
Poland,7.37
Mexico,7.94
South Korea,8.2
Saudi Arabia,8.53
Czech Republic,8.94
Singapore,9.46
Hong Kong,9.96
Canada,10.29
Portugal,10.51
Australia,11.51
New Zealand,12.52
United States,12.99
Sweden,13.98
Spain,14.02
Italy,14.02
France,14.02
Norway,15.06
Germany,15.19
Netherlands,15.19
United Kingdom,17.67
