Country,USD Price
Nigeria,1.24
Egypt,1.25
India,1.58
Pakistan,1.72
Turkey,1.76
Bangladesh,1.91
Ghana,2.05
Ukraine,2.36
Argentina,2.44
Vietnam,3.04
Philippines,3.08
Kenya,3.84
Indonesia,3.96
South Africa,5.0
Brazil,5.09
Malaysia,5.33
Thailand,5.56
Colombia,5.86
Chile,6.06
Taiwan,6.52
Romania,6.82
Hungary,7.07
Poland,7.1
Saudi Arabia,7.2
Russia,7.21
United Arab Emirates,7.35
Japan,8.17
Mexico,9.09
Israel,9.54
Canada,9.55
Czech Republic,10.1
South Korea,10.19
New Zealand,10.73
Singapore,11.03
Hong Kong,11.24
Portugal,12.85
United States,13.99
Sweden,16.14
Spain,16.36
Italy,16.36
France,16.36
Germany,16.36
Netherlands,16.36
Australia,16.55
United Kingdom,17.67
Norway,18.31
