Event #,Event,Date,Venue,Attendance,Gate,Viewership/Engagement
1,Walsh vs. Ocampo,Jan 23,"Meta Apex, Las Vegas",~300–700 (est.),Estimated: ~$50K–$120K,Combined with UFC 324: ~5M weekend viewers
2,Valenzuela vs. Torres,Feb 1,"Meta Apex, Las Vegas",Estimated: ~300–500,Estimated: ~$50K–$100K,Estimated: ~250K–500K
3,Ajagba vs. Martin,Feb 15,"Meta Apex, Las Vegas",Estimated: ~300–500,Estimated: ~$50K–$100K,Estimated: ~250K–500K
4,Opetaia vs. Glanton,Mar 8,"Meta Apex, Las Vegas",Estimated: ~300–500,Estimated: ~$50K–$100K,Estimated: ~250K–500K
5,Cortes vs. Garcia,Apr 5,"Meta Apex, Las Vegas",Estimated: ~400–600,Estimated: ~$60K–$120K,Estimated: ~300K–600K
6,Mosley Jr. vs. Bohachuk,May 10,"Meta Apex, Las Vegas",Estimated: ~500–800,Estimated: ~$75K–$150K,Estimated: ~300K–600K
7,Billam-Smith vs. Rozicki,Jun 6,"Bournemouth Int'l Centre, UK","Estimated: ~3,000–5,000",Estimated: ~$300K–$600K,Estimated: ~400K–800K
8,De Los Santos vs. Valenzuela II,Jun 28,"The Chelsea, Cosmopolitan, Las Vegas","Estimated: ~1,500–2,500",Estimated: ~$200K–$400K,Estimated: ~350K–700K
9,Berlanga vs. Butler,Jul 26,"Infosys Theater, MSG, New York","2,462 primary tickets sold","$354,951 primary",Estimated: ~400K–800K
10,McKenna vs. Oliha,Aug 8,"3Arena, Dublin","Claimed 14,000; actual est. ~3,000–5,000",Estimated: ~$400K–$800K,Estimated: ~400K–800K
11,Garcia vs. Benn,Sep 12,"T-Mobile Arena, Las Vegas","18,855 (announced)","$8,030,075.85 (announced)",Estimated: ~1M–2M
